Cycles,Voltage_V,Current_A,Temperature_C,Internal_Resistance_mOhm,Capacity_Ah,SOH
308,3.66,1.8,48.2,41.2,47.12,90.01
909,3.87,3.71,37.5,65.0,41.42,80.8
752,4.17,4.11,38.3,62.8,43.35,83.24
906,4.13,4.05,46.4,66.4,41.14,80.12
459,3.45,1.76,27.4,51.4,46.23,91.78
1705,3.96,0.87,41.8,97.6,32.27,63.34
1682,4.01,1.14,40.4,101.3,32.94,62.94
190,3.78,2.53,24.8,38.4,47.63,95.69
1847,4.17,4.88,39.1,107.5,31.61,59.28
1223,3.82,0.53,44.6,77.9,36.85,73.84
1034,3.65,1.1,36.8,73.2,39.61,75.72
1778,3.57,1.67,31.4,97.2,32.24,64.14
1686,3.47,3.7,28.1,100.0,32.28,64.7
1478,3.64,3.85,36.7,90.9,36.16,66.88
1568,3.61,0.57,21.9,93.9,33.73,71.01
936,3.7,3.24,22.3,63.5,40.69,80.89
853,4.11,1.02,47.4,63.0,40.97,80.98
1631,3.57,0.55,43.0,91.9,32.88,66.02
229,3.39,3.26,23.5,43.5,47.43,96.62
370,3.52,0.6,20.6,44.3,46.97,92.18
332,3.92,1.77,43.6,39.6,47.17,91.19
420,3.28,3.62,29.5,51.1,45.13,92.63
83,3.37,1.26,46.5,36.3,49.46,96.87
1626,3.39,4.54,46.4,98.0,34.31,62.89
1057,3.85,4.45,24.9,67.5,40.29,77.54
1694,3.23,4.89,21.9,102.1,32.91,65.29
757,4.16,3.78,46.5,64.6,42.79,80.57
1848,3.45,1.02,42.4,104.9,32.03,59.58
1922,3.33,2.17,41.0,103.0,31.02,59.7
648,3.41,2.83,49.9,52.4,43.1,82.87
780,3.64,3.31,32.5,61.4,42.85,81.29
589,3.73,3.75,37.8,51.4,43.53,87.43
280,3.99,2.96,46.1,40.5,47.69,91.02
1834,3.39,2.62,49.5,107.4,32.59,58.49
1731,3.67,1.92,36.7,103.4,33.4,63.91
687,3.77,3.44,32.4,58.5,43.26,85.34
306,4.1,0.53,43.1,43.4,47.22,91.55
1125,3.34,1.41,47.0,78.1,39.47,73.26
1041,4.1,4.53,22.5,74.9,40.38,77.57
1858,3.84,1.64,30.7,106.7,30.88,60.43
639,3.57,4.09,35.9,57.7,43.67,86.76
270,3.77,2.34,26.3,38.6,48.27,92.54
771,3.75,1.18,45.1,60.5,42.61,82.61
1614,4.15,3.52,47.8,91.5,34.7,65.49
1622,3.58,4.19,39.0,97.6,34.74,65.54
1144,3.98,3.88,42.0,76.7,38.85,73.43
359,3.65,2.57,42.6,47.6,46.79,90.28
1950,3.7,1.27,35.7,108.1,30.23,58.42
476,3.92,4.69,39.3,51.2,44.66,89.57
1362,4.17,1.14,25.8,80.5,36.49,71.67
1672,3.33,2.46,24.1,99.2,33.75,64.73
1664,3.79,2.39,29.8,95.4,33.51,64.42
1894,3.66,3.54,34.2,106.1,30.7,62.68
165,4.1,0.57,25.6,36.9,48.47,95.66
1579,4.11,4.98,41.6,93.9,33.96,66.54
1167,3.87,3.96,41.5,81.0,39.29,75.56
1532,4.06,4.21,22.7,92.4,35.5,69.72
375,3.91,3.2,27.4,40.8,45.58,93.84
1294,3.24,1.5,28.3,84.5,37.03,73.94
10,3.89,2.58,21.0,26.0,49.89,100.0
43,3.91,4.15,40.0,29.4,48.76,95.45
502,3.52,1.85,49.6,49.4,44.36,87.02
876,3.92,4.51,32.2,60.9,41.02,82.79
505,3.88,4.47,33.3,49.1,44.55,90.43
1675,3.85,2.4,43.9,96.8,32.59,65.29
937,3.34,1.79,20.4,70.7,40.22,82.19
63,3.27,4.57,29.6,35.1,48.93,99.17
763,3.92,2.16,37.7,65.3,41.83,81.53
1568,4.18,3.23,23.4,97.5,33.74,67.95
1946,3.3,2.8,38.8,105.4,29.86,60.84
822,4.06,3.41,23.1,66.1,42.23,84.04
275,3.67,0.97,23.2,37.4,47.65,96.73
244,4.01,1.98,41.7,41.1,48.48,92.93
773,3.77,1.4,29.5,56.0,41.3,84.01
1144,3.37,0.62,21.8,73.0,38.44,76.48
1999,3.26,2.54,50.0,110.9,30.31,55.8
1083,3.34,4.12,47.4,77.1,39.01,73.87
785,3.57,0.92,32.9,57.1,42.83,82.9
1988,3.97,3.01,39.5,113.6,30.87,58.2
194,3.94,4.12,21.2,33.4,48.45,95.53
1702,3.96,4.29,49.4,99.0,33.89,62.54
447,3.24,3.41,39.0,46.0,45.43,90.24
1956,3.29,3.7,45.5,106.8,30.55,57.57
253,3.97,4.49,45.8,40.1,48.33,93.78
1167,3.79,2.07,37.2,75.1,38.94,73.98
1925,4.09,4.95,28.6,104.6,31.23,62.78
131,3.91,3.19,23.2,35.1,48.06,95.72
158,4.08,4.8,43.8,35.1,48.47,95.47
216,3.53,1.44,32.3,38.9,46.9,93.07
1548,4.16,3.42,23.8,91.8,34.62,70.76
765,3.71,0.66,33.1,56.1,43.27,83.46
967,3.87,4.63,46.4,68.3,40.1,79.42
1112,3.9,0.7,25.7,78.8,39.09,77.9
544,4.15,1.72,40.4,54.1,44.35,85.9
218,3.32,0.53,44.1,43.4,48.7,92.49
98,3.45,1.27,25.4,36.0,48.24,99.32
1841,4.17,2.46,33.8,99.0,31.71,60.7
550,3.31,3.15,38.1,51.6,43.88,86.36
949,4.15,4.29,38.3,71.5,39.92,78.02
472,3.81,2.36,34.3,47.7,44.83,88.17
1243,4.16,2.11,24.0,79.9,38.09,75.91
1208,3.88,4.37,28.9,74.1,37.8,74.53
1326,3.94,1.03,25.3,85.8,35.76,72.74
871,3.85,3.2,33.9,60.2,41.15,80.42
813,3.67,1.58,36.4,58.4,42.38,80.11
1887,3.89,2.99,26.0,110.3,31.36,62.13
936,3.23,1.54,37.7,71.9,40.31,79.02
1722,3.24,4.21,30.3,103.7,32.71,64.95
399,3.63,0.95,45.0,42.5,45.14,87.77
181,3.61,3.23,43.6,37.1,47.48,92.06
46,3.74,1.61,47.0,36.7,49.26,94.37
456,3.93,2.12,49.2,49.5,45.67,89.04
980,3.71,1.92,20.7,68.0,40.79,80.58
836,3.75,2.2,28.3,63.6,41.59,82.35
1974,3.88,3.14,40.9,105.1,30.42,59.32
333,3.32,4.25,46.7,45.8,46.02,91.8
1177,4.04,0.55,24.0,78.0,37.31,77.51
1193,4.09,2.7,36.4,77.6,38.98,75.68
1767,4.13,0.52,41.7,97.1,32.95,60.89
1238,3.72,0.84,28.6,83.9,38.18,74.51
1336,4.0,4.67,46.4,83.6,37.59,68.23
716,3.42,0.58,27.6,59.6,43.12,84.16
1040,3.78,2.32,21.6,68.6,40.53,78.26
170,3.76,0.78,31.7,40.4,47.96,94.1
1998,4.19,0.75,33.7,110.2,30.93,59.84
932,3.46,4.8,27.2,66.6,41.02,80.76
118,3.91,4.09,25.2,33.4,48.64,96.39
1980,3.99,1.01,21.0,110.1,29.82,59.02
1687,3.52,4.27,33.4,101.6,33.0,65.66
1162,3.76,3.41,33.8,72.0,39.28,74.36
1217,4.05,4.59,28.4,77.1,37.46,74.44
1439,3.46,4.82,38.8,86.6,35.67,71.05
765,3.23,0.68,33.7,61.6,41.96,82.87
1471,3.49,1.87,44.6,93.6,34.34,66.64
24,3.35,3.47,44.1,27.5,49.76,95.32
907,3.97,0.95,31.1,62.1,40.32,82.49
1374,3.33,4.1,27.1,82.1,37.13,73.25
915,3.83,3.87,33.5,67.8,41.62,80.94
1727,4.04,4.92,37.8,95.2,32.73,62.74
1603,3.23,0.79,21.2,90.2,33.52,68.69
1263,3.3,1.09,35.7,76.5,37.95,72.88
769,3.88,4.44,42.2,57.1,42.21,83.37
63,3.58,1.92,35.4,30.8,48.65,95.72
318,3.63,3.63,20.2,40.2,46.07,92.82
511,4.1,2.24,22.4,46.4,44.0,91.97
1822,3.25,0.86,36.3,104.3,32.49,62.49
849,3.63,1.21,23.5,59.5,41.98,84.2
131,3.72,2.94,31.4,40.1,49.31,94.59
1117,3.42,0.61,24.6,74.7,39.12,77.17
1348,4.14,2.02,35.8,87.0,35.95,72.71
1254,3.87,0.53,39.1,84.9,37.65,72.78
740,4.0,4.42,30.5,58.5,43.46,84.53
1878,4.09,4.98,30.6,106.2,30.75,62.15
111,3.78,2.59,34.8,36.4,48.66,95.12
1522,3.64,1.18,31.7,93.1,35.24,67.69
601,4.1,1.72,46.6,53.3,43.17,85.92
77,4.11,1.84,45.6,30.2,49.43,94.28
483,4.18,3.8,25.1,45.7,44.76,92.22
95,3.73,0.91,49.0,33.5,49.08,93.93
1792,3.88,1.96,48.5,105.1,32.4,59.52
25,4.01,0.88,37.5,27.0,49.8,99.47
688,3.93,2.99,29.0,55.7,43.5,84.77
1481,3.43,1.72,43.4,88.4,36.13,66.85
1656,3.21,0.8,43.0,94.0,32.48,63.42
1482,3.22,1.92,48.2,87.2,34.93,66.93
1851,4.08,4.78,47.3,104.3,32.34,58.46
1181,3.67,1.32,40.9,76.5,38.14,73.09
1050,3.38,1.79,42.9,70.7,38.93,78.18
751,3.85,1.88,44.4,55.9,42.95,80.66
1579,3.33,0.74,36.0,95.4,34.05,65.09
266,3.74,1.21,36.3,43.3,46.35,91.33
1215,3.61,2.63,25.2,81.5,38.84,76.51
90,4.2,0.63,44.5,34.5,48.47,96.52
362,3.84,4.44,41.6,45.0,45.39,91.12
1176,3.7,2.54,41.2,80.8,39.1,75.92
893,3.48,3.24,25.6,67.3,40.17,80.07
1110,3.76,3.57,46.5,79.0,38.95,76.48
162,3.85,3.05,42.9,40.3,49.37,95.32
983,3.75,3.28,26.1,65.4,41.11,81.63
934,3.39,2.84,47.9,63.2,40.27,76.47
470,4.05,2.74,27.7,52.3,46.22,90.42
1150,3.41,4.5,30.2,73.6,38.53,76.14
1953,3.87,0.66,48.2,103.2,29.95,59.3
1585,3.5,3.24,21.4,94.6,34.71,70.39
645,3.62,2.77,48.0,51.3,43.21,83.06
1547,3.4,3.01,28.2,96.5,34.2,66.72
1403,4.12,3.67,35.6,84.6,36.64,71.58
1510,3.77,2.33,42.5,88.7,35.23,67.58
1283,3.7,4.8,44.5,84.9,36.63,73.36
1952,3.38,1.45,41.6,110.3,30.5,58.25
1605,4.15,4.71,33.5,91.4,34.87,68.28
168,4.19,2.83,31.5,36.1,48.95,96.4
1202,4.19,3.64,40.6,76.2,38.57,73.93
1825,3.62,3.97,26.5,103.6,31.65,61.97
389,3.44,4.59,28.0,46.8,46.21,93.14
23,3.69,4.05,42.8,25.9,50.48,94.98
1245,3.99,4.48,38.3,79.0,38.44,74.24
550,4.07,0.78,27.5,50.3,44.09,90.44
1204,3.75,3.41,49.8,83.0,38.26,71.2
514,4.13,3.01,28.6,50.0,44.88,91.16
630,3.6,2.75,22.8,52.0,44.03,87.81
851,4.06,1.3,26.8,65.1,41.97,83.56
206,4.06,2.41,21.9,34.9,47.22,95.42
400,3.9,4.82,42.7,44.4,46.29,89.98
79,4.01,3.78,33.1,34.5,48.3,98.14
1563,3.48,2.67,37.8,91.0,34.48,66.44
874,3.7,4.52,31.9,60.1,41.25,80.61
148,3.27,4.0,42.5,34.4,48.41,93.65
1630,3.35,4.8,43.1,98.9,32.76,66.65
16,3.45,2.78,45.2,30.0,49.25,98.65
1139,3.26,2.07,46.8,76.0,38.24,74.82
1436,3.93,2.35,38.1,90.2,35.92,70.69
1848,3.43,4.89,31.7,99.2,31.73,61.64
776,3.54,2.2,35.2,56.8,42.76,83.89
48,3.32,1.42,49.9,29.1,50.24,96.71
1023,3.26,4.86,41.0,75.4,38.96,78.14
415,3.38,3.37,28.7,50.2,45.44,91.18
241,3.47,0.73,26.1,40.8,47.68,96.23
1711,4.03,1.55,29.4,100.5,32.17,65.29
1005,4.18,2.2,30.0,65.6,38.97,78.63
904,3.36,4.58,24.0,68.9,41.88,83.62
1706,3.62,3.2,39.5,94.7,33.32,63.0
1772,3.35,4.88,48.1,101.6,31.95,61.86
1508,4.1,3.72,42.8,93.4,33.93,65.18
1155,3.87,2.03,22.5,71.7,38.87,77.09
496,3.65,2.36,33.4,47.2,45.78,87.5
1672,3.7,4.52,40.0,96.6,33.15,62.65
589,3.47,3.11,45.5,53.8,44.6,85.51
500,4.16,4.19,32.4,52.3,45.25,88.62
898,3.43,2.64,45.3,62.6,40.74,78.53
307,3.74,4.79,21.8,46.8,46.87,94.37
404,3.22,3.82,33.5,42.8,45.87,91.92
715,4.17,2.2,43.1,57.2,43.42,82.06
355,4.19,0.68,47.5,46.3,47.25,88.28
535,3.26,4.53,44.7,49.5,45.44,86.24
1493,3.73,4.83,29.5,91.7,34.67,69.3
349,3.44,3.55,28.8,40.6,45.67,94.3
561,3.5,2.48,31.9,49.1,45.06,86.55
710,3.54,3.95,40.6,59.0,43.32,85.06
681,3.64,0.55,20.8,57.9,44.03,87.25
660,4.2,4.26,28.6,58.5,44.24,85.0
64,3.48,3.96,42.5,34.2,50.22,95.05
1785,3.36,3.8,35.2,105.0,32.98,63.0
1249,4.02,0.78,48.3,75.2,36.86,72.09
298,3.51,3.31,21.9,44.9,47.11,94.66
1877,3.51,1.98,31.6,107.6,31.13,60.63
812,3.84,1.33,47.4,67.3,41.9,82.06
935,3.39,1.59,26.5,68.6,40.39,81.51
510,4.08,1.92,23.6,54.5,45.46,88.39
630,3.88,0.73,29.6,51.0,43.8,84.81
1447,3.67,1.82,27.7,87.6,35.39,72.37
480,3.76,2.2,37.8,44.3,45.42,89.29
776,4.07,4.66,43.6,65.2,43.06,80.49
1927,4.02,2.11,38.1,109.8,31.69,60.29
517,4.13,0.92,23.3,47.5,45.33,89.22
758,4.19,3.85,33.8,55.8,43.18,82.79
146,3.9,3.23,28.4,36.5,48.14,96.75
1039,3.42,1.2,38.2,75.4,39.99,76.27
643,3.92,2.21,27.4,53.3,43.92,85.12
1458,4.1,1.6,26.5,85.0,35.39,70.45
402,3.93,3.0,27.9,47.8,46.03,91.08
1723,3.97,1.82,32.6,95.3,32.21,64.02
669,4.15,0.73,24.3,58.1,43.21,86.61
1693,4.02,4.27,40.1,96.4,33.11,64.84
402,4.01,3.38,34.1,44.9,45.29,91.34
1266,3.69,4.0,44.0,85.5,37.48,72.31
1429,3.2,2.72,38.9,87.9,35.3,67.48
1449,3.92,2.42,45.0,84.8,35.31,66.4
329,3.21,1.34,29.9,47.7,47.0,92.18
94,3.71,4.12,29.9,34.4,49.32,98.44
1914,3.24,4.94,42.4,110.7,30.81,57.23
267,4.0,2.1,33.1,44.7,48.04,93.88
227,3.97,1.93,35.4,39.9,47.52,94.43
1542,3.74,4.18,21.2,94.0,35.48,71.04
1181,3.35,2.02,20.7,75.7,38.38,76.5
1703,3.24,3.81,45.8,101.5,33.46,63.08
296,3.21,1.94,29.4,37.5,46.41,93.83
1705,3.87,3.64,43.8,96.4,33.74,61.94
799,3.33,4.55,45.6,58.8,42.11,81.3
79,3.41,4.62,41.5,28.5,50.15,94.35
1516,3.96,2.18,40.7,95.5,34.96,66.87
926,3.28,2.37,40.4,63.2,40.3,79.16
113,3.47,3.32,30.0,36.6,48.19,95.99
1206,3.71,0.72,23.5,82.8,37.06,75.69
1502,3.94,3.78,28.0,85.1,35.51,68.61
135,3.93,1.32,28.7,38.7,48.68,95.27
1982,3.96,4.1,29.1,105.2,29.63,58.51
1310,3.52,1.24,33.7,87.1,37.2,71.69
224,3.35,1.28,44.0,39.6,47.07,93.51
1699,3.44,1.41,30.0,95.5,33.4,65.21
1367,3.78,4.3,26.0,83.0,36.2,73.91
583,4.1,1.87,47.7,49.1,43.25,83.89
26,3.53,2.5,36.2,30.3,49.47,96.72
154,3.24,4.64,33.2,34.9,48.1,95.87
56,4.11,2.83,42.8,32.7,49.29,97.58
714,3.71,1.0,34.6,55.3,43.78,82.67
1882,3.44,1.34,47.1,109.0,30.82,58.72
1161,3.61,1.71,31.9,73.7,37.73,73.9
119,3.79,3.55,23.9,35.5,49.61,98.79
1448,4.18,3.17,22.7,84.1,35.86,72.4
1403,3.67,3.81,35.6,81.9,35.58,72.1
429,3.9,3.45,37.6,49.0,44.99,87.99
934,3.87,3.54,20.3,62.4,39.99,82.7
889,4.07,4.32,31.6,64.2,41.9,81.02
1793,3.57,3.22,49.4,101.8,32.77,60.5
1223,3.89,4.74,26.8,76.5,37.71,73.94
1131,3.8,5.0,44.8,75.4,38.88,75.01
238,4.12,0.85,45.5,37.3,48.08,93.77
1966,3.52,1.75,27.3,109.4,29.68,60.59
876,3.44,4.05,41.7,63.2,41.56,80.12
1224,3.95,3.31,42.1,79.7,36.92,73.2
1755,3.75,1.93,20.9,104.1,33.27,66.24
679,3.21,2.59,29.7,54.6,42.5,86.11
1512,3.37,3.92,23.1,93.9,34.19,69.56
23,3.26,2.58,23.6,27.8,50.0,98.91
1451,3.33,2.08,26.8,90.6,35.45,72.28
1227,3.9,3.79,25.9,82.6,38.0,77.2
948,3.8,1.77,20.6,70.7,40.21,81.41
1629,3.82,3.76,35.9,98.6,32.96,65.84
179,4.17,0.64,26.1,40.7,48.28,96.38
12,3.47,4.38,30.3,34.9,50.67,100.0
416,3.94,2.87,49.5,43.9,45.84,87.61
1290,3.97,1.74,28.9,79.3,36.24,72.16
813,3.52,0.9,47.4,67.2,41.33,78.88
1483,3.3,0.56,43.3,91.9,34.29,67.55
626,3.62,3.35,35.5,51.3,43.09,86.37
223,3.64,4.18,43.1,40.4,47.77,94.27
705,3.25,2.27,20.4,54.1,43.24,86.46
882,3.81,4.89,31.9,68.5,41.04,82.92
744,3.33,0.51,48.3,58.1,43.24,81.5
1483,4.07,2.78,33.5,87.2,35.02,69.2
1659,3.43,1.3,34.4,96.7,33.33,64.5
1451,3.77,3.93,40.1,84.1,34.66,68.8
671,3.29,2.88,33.0,58.9,42.86,86.26
1989,3.54,1.75,25.2,105.8,30.28,60.58
910,4.11,4.97,33.2,66.1,41.49,78.77
1497,3.28,3.9,21.1,87.8,35.3,71.21
921,3.44,3.85,41.2,64.6,40.66,80.49
662,4.17,2.66,24.6,55.4,43.68,88.63
554,4.04,4.09,34.8,47.9,44.06,87.63
637,4.08,0.96,47.5,54.4,42.63,83.18
1988,4.15,2.93,29.1,109.4,30.56,60.59
1457,4.14,3.39,38.0,90.5,36.41,67.15
1927,3.44,1.8,24.4,103.3,30.73,60.2
1470,3.73,0.51,48.7,85.8,35.12,65.23
1350,3.53,1.56,41.5,81.6,36.56,69.32
205,3.85,4.5,27.6,37.2,48.26,96.87
1790,3.28,1.16,33.4,105.3,32.76,63.3
1936,3.46,3.2,29.6,107.7,30.63,58.7
1850,3.44,2.69,45.1,104.4,31.57,59.29
1787,3.44,4.17,21.8,100.3,32.98,63.23
394,3.54,0.9,42.2,45.3,46.16,88.28
1452,3.44,1.58,29.1,91.3,34.61,68.59
859,3.58,4.99,37.9,59.4,40.88,81.07
397,3.35,1.62,30.7,45.3,46.36,90.9
148,3.76,3.92,33.2,32.8,49.02,96.92
1940,3.63,1.97,40.6,110.0,30.08,59.83
1483,3.26,2.69,49.9,92.0,35.86,66.69
95,3.48,1.2,45.8,32.1,50.01,95.85
1760,3.77,1.23,30.1,99.6,32.88,62.4
44,3.44,1.9,39.3,32.7,49.08,97.25
1444,3.31,3.25,31.7,88.6,35.19,69.26
559,3.95,0.92,21.2,53.3,43.51,88.95
230,3.87,3.66,39.9,39.2,48.03,94.22
1603,3.99,3.07,24.2,90.2,33.2,68.66
877,3.9,3.39,45.7,69.7,41.21,78.3
903,3.86,3.56,24.2,63.2,41.8,82.33
917,3.42,0.99,22.9,62.3,41.32,83.69
1147,3.88,1.58,44.9,77.3,37.8,72.64
600,4.06,2.58,45.9,50.0,44.75,86.0
1417,3.48,3.67,41.0,85.3,36.57,71.08
1393,3.5,2.25,22.8,83.0,36.55,71.75
1739,3.36,3.04,30.0,104.3,32.4,64.33
257,3.42,1.25,39.1,41.0,46.48,92.62
1494,3.43,1.76,49.3,90.9,35.16,68.31
321,3.97,2.41,44.3,43.9,47.62,89.15
1532,3.36,1.04,44.5,86.3,35.04,66.92
236,3.34,2.42,30.5,40.0,46.89,93.13
1838,3.22,1.01,25.8,103.6,32.02,61.61
395,3.46,4.21,41.4,41.5,46.52,90.87
259,3.8,1.13,23.6,39.7,46.55,95.67
1888,4.04,0.83,45.8,108.5,31.38,58.24
1279,3.79,2.18,39.7,77.5,36.96,74.1
1763,3.59,3.72,45.7,98.3,33.24,61.49
1230,4.01,1.05,33.6,81.7,36.7,74.1
1201,4.11,1.95,49.8,82.8,37.5,70.54
1048,3.98,4.51,41.7,72.3,39.79,76.43
1132,3.5,3.44,44.6,76.9,37.69,75.21
1265,3.37,1.57,42.8,80.5,36.92,70.88
637,3.85,2.7,24.2,58.0,44.25,86.88
450,3.6,0.59,26.3,45.6,45.78,90.24
400,3.39,3.79,24.7,47.1,46.98,93.9
1536,3.26,2.21,48.0,88.4,35.39,66.31
595,3.81,3.04,36.1,56.6,43.16,85.42
118,4.08,1.01,29.1,29.7,48.63,95.67
1229,3.84,4.07,25.0,81.3,37.54,75.58
1516,3.56,1.37,30.5,90.0,34.94,67.39
787,3.64,1.27,37.8,64.9,42.43,81.18
1378,3.89,4.22,32.7,85.5,35.28,70.44
1203,4.13,4.82,38.2,75.6,38.52,73.84
654,3.32,0.51,44.1,60.0,44.06,84.82
220,3.99,4.76,30.2,35.5,48.6,94.84
299,3.32,3.41,31.0,41.8,47.39,93.34
815,3.86,4.92,32.8,61.6,42.28,84.34
784,3.58,4.72,42.6,63.7,42.83,81.98
1669,3.76,0.77,44.1,97.4,33.28,61.98
1107,3.37,2.56,41.1,69.5,38.4,76.12
1904,4.11,3.29,31.9,110.0,30.59,62.78
1341,3.72,1.04,40.8,83.7,36.64,70.91
1080,3.33,1.24,22.9,68.2,40.11,80.1
1502,3.73,0.68,22.3,89.0,34.91,71.64
1321,3.77,3.66,48.5,87.8,35.9,71.52
50,3.51,2.01,45.2,29.5,49.11,96.94
456,4.17,4.82,47.0,49.7,45.16,87.28
404,3.54,4.54,21.0,44.6,46.33,91.85
983,3.42,3.79,47.7,65.7,40.9,76.99
1022,3.66,4.32,48.0,73.0,40.08,75.77
465,3.99,3.89,46.6,51.4,45.29,89.08
90,3.47,4.62,25.5,32.7,49.61,99.4
325,3.94,3.2,31.8,45.0,45.84,91.1
1479,3.56,2.7,40.2,84.9,36.18,67.17
27,4.07,3.76,35.4,35.5,49.89,98.16
1409,3.22,0.8,33.6,90.6,36.2,71.73
664,3.31,2.74,27.7,55.9,43.37,87.09
972,4.17,4.1,23.9,69.8,39.95,80.84
1755,3.92,2.72,47.4,100.3,32.88,62.58
530,3.8,2.25,48.2,53.4,45.21,85.28
303,3.95,2.47,43.9,38.0,47.67,89.45
1159,3.45,1.63,26.1,78.3,37.75,76.55
1039,4.04,3.61,37.3,76.0,40.49,75.86
860,3.84,1.27,43.8,63.1,42.22,81.45
1182,3.5,3.11,45.3,78.8,37.91,73.18
1800,3.31,3.87,38.0,104.7,31.04,62.84
342,3.24,0.94,46.8,47.0,47.4,91.29
1519,4.06,1.88,45.5,86.3,34.76,68.43
225,3.57,1.54,35.5,35.4,47.56,95.49
1457,3.23,3.21,42.0,84.6,35.52,67.39
815,3.94,2.42,42.3,65.6,41.58,80.19
1721,3.41,4.34,44.7,94.5,33.21,64.39
898,3.24,1.41,21.0,68.7,41.84,82.0
157,3.25,4.82,49.5,38.0,49.22,92.44
1827,3.94,3.03,23.2,100.1,30.92,62.68
1566,3.55,2.68,29.0,94.4,34.54,69.97
517,4.16,4.32,40.3,55.4,45.53,88.03
305,4.13,4.11,25.5,45.4,46.63,93.16
1357,3.28,4.44,28.9,86.6,35.63,74.11
613,3.23,2.9,38.4,52.8,43.59,85.13
1344,4.16,1.67,43.0,80.3,37.21,71.05
1672,4.05,0.66,40.7,94.3,33.06,65.14
1666,4.14,2.41,27.9,94.8,32.83,65.18
1030,4.04,4.41,32.2,73.8,38.9,78.45
670,3.25,4.22,49.3,54.9,42.41,83.0
613,3.32,3.6,42.4,58.3,42.91,84.86
407,3.42,1.11,25.4,47.0,46.3,93.59
961,3.43,1.1,25.4,64.3,39.98,81.87
869,3.78,1.95,22.6,64.9,41.63,81.16
1743,3.2,2.56,46.5,98.8,32.64,63.45
985,4.02,2.29,27.6,65.5,40.13,79.75
103,4.03,2.67,48.8,36.4,49.79,92.75
1914,3.8,2.56,39.7,105.8,30.81,61.07
999,3.95,4.03,22.8,72.2,40.48,81.19
1433,4.19,2.79,31.3,90.5,35.36,68.73
999,3.44,2.61,43.2,65.0,40.81,76.62
390,3.49,3.44,47.7,47.4,45.74,88.4
996,3.31,2.83,47.8,70.4,39.21,75.93
867,3.46,0.98,39.4,62.8,40.98,81.36
1778,3.26,3.05,48.2,105.4,32.21,61.3
145,3.41,3.83,26.7,39.8,48.33,95.79
1695,3.88,1.43,35.8,93.7,32.59,63.76
950,3.44,4.59,35.3,71.3,39.86,81.01
372,4.19,2.48,45.6,45.8,47.18,90.36
981,3.27,3.98,25.7,66.0,40.67,79.35
925,3.25,1.06,22.8,65.0,41.42,83.01
809,3.73,2.36,26.6,63.0,41.54,85.08
215,3.48,3.15,38.7,34.8,47.36,95.23
291,3.8,4.41,42.7,41.6,47.44,92.3
865,3.62,0.72,37.9,64.5,40.43,79.76
1375,3.53,1.23,39.1,87.9,36.83,69.59
1581,3.95,4.07,48.6,90.2,34.11,66.66
1627,3.66,0.8,28.8,90.5,32.77,67.96
349,3.22,2.38,44.2,46.4,47.31,90.0
1157,4.02,2.31,49.2,72.6,39.35,71.93
1887,3.64,4.87,30.9,108.8,30.3,61.12
619,3.72,2.12,46.9,52.7,43.22,84.64
1527,3.37,4.35,26.4,87.5,34.64,69.83
125,3.39,1.75,34.9,35.8,49.74,95.62
382,3.62,2.48,42.0,41.6,45.64,88.97
314,4.15,3.06,40.4,46.7,47.11,92.62
1524,3.74,1.63,23.7,92.6,34.43,68.28
1938,4.17,0.63,27.4,111.5,29.89,59.98
498,3.79,1.85,46.4,46.8,44.25,84.86
1366,4.14,0.97,42.1,88.5,36.82,71.22
149,3.48,2.68,42.8,38.4,47.72,95.48
1539,3.22,3.25,29.2,93.2,34.82,69.5
1901,4.04,1.07,27.8,102.8,31.4,61.52
978,3.96,4.63,20.0,71.3,40.97,79.44
1132,3.36,3.91,37.7,71.5,37.93,75.06
1759,3.45,2.27,46.6,102.2,31.84,62.01
1807,4.19,2.74,21.4,101.3,32.5,64.0
1159,3.39,2.73,22.2,77.7,37.89,76.39
1897,3.42,0.78,39.4,107.6,30.94,59.54
1715,3.38,3.8,33.4,95.6,33.54,64.18
1311,3.82,3.55,35.8,78.2,36.75,72.49
1637,3.25,4.11,29.7,94.7,34.18,67.13
96,3.98,2.97,38.5,34.2,49.78,96.09
1809,3.69,2.45,45.7,102.9,32.81,61.75
711,3.54,1.54,43.3,55.1,42.39,84.86
264,4.04,3.47,47.9,38.3,47.58,90.3
1576,4.02,4.46,48.0,95.2,34.26,64.96
1537,3.77,3.16,34.2,92.4,34.01,69.02
611,4.06,3.66,37.1,49.7,44.29,86.85
1287,3.38,4.99,47.6,85.0,36.75,72.23
319,3.26,4.11,21.4,43.5,45.82,93.51
1760,3.4,4.62,34.7,97.4,31.76,63.99
310,3.96,0.84,41.1,43.8,47.31,90.41
1184,3.29,2.57,32.5,79.8,38.92,75.16
505,3.69,2.72,31.2,52.7,45.27,87.58
434,3.4,2.24,21.8,46.7,45.65,91.06
119,3.86,1.15,29.8,39.6,48.77,97.51
1415,3.56,0.93,26.1,82.2,36.34,70.21
270,3.85,4.11,42.5,38.9,46.84,90.37
1720,3.93,3.75,29.2,95.3,33.42,65.58
971,3.27,3.66,27.7,69.3,40.62,80.12
1869,4.2,1.0,34.6,104.7,31.29,60.01
622,3.38,1.62,21.8,52.6,43.31,88.19
684,3.27,4.91,36.6,60.5,42.23,85.26
